regimen,daily_total_mg,dose_per_admin_mg,median_Cmax,median_trough,median_max_dCdt,p95_max_dCdt,median_minAlpha,p5_minAlpha,fluctuation
QD,40,40.0,159.6632203179562,73.19067279978847,43.18849436486318,112.0500906566682,0.013198771025431315,0.012768096039337302,81.96672963719688
BID,40,20.0,150.82108725344546,108.48027619311645,20.476833943647947,47.34214499770579,0.013285014160941057,0.013179293122513522,36.455620523934854
TID,40,13.333333333333334,131.63288189646667,105.4030811903107,12.281816650808768,31.236169445285327,0.013306020675621326,0.013248744520200618,20.664519567674915
QD,80,80.0,337.6907510288171,162.25515527599003,94.5125239789623,210.49629842226054,0.012896584805214103,0.0118986597208816,172.533008045156
BID,80,40.0,284.99279932276875,206.88972691993183,38.96668945086651,99.46735976932958,0.013217489233117611,0.012861374782257516,70.51644532093451
TID,80,26.666666666666668,252.61687510425713,204.19201190052922,24.02826483469792,57.9047841933577,0.01327404909360825,0.013125331623638261,40.32503289100423
QD,120,120.0,481.8400082445271,217.51941082079114,135.95801783709427,315.1873307630343,0.012577214203858263,0.01084046278175877,249.44008692329487
BID,120,60.0,385.20634354549327,285.789545991861,58.70595755308554,140.76634825219546,0.013120991908687428,0.012536882213633155,100.94382678293684
TID,120,40.0,380.34482437010723,317.1736356051066,37.63789528040667,95.17889607064636,0.013223146221747518,0.01289190255109478,61.72888741073052
QD,160,160.0,687.1940501372208,295.0980192056803,184.38605381444742,475.76633030307727,0.012147710704800274,0.009227543136734333,329.78627286500904
BID,160,80.0,553.344248316889,386.8764333840886,80.24874732612139,200.1216384429323,0.012992652070829808,0.011998766872447542,141.88351002975043
TID,160,53.333333333333336,500.4159819562173,419.4944030127954,47.289051159397104,132.56701486253053,0.013179547892840336,0.012605260467359046,77.4040803064662
