regimen,daily_total_ref_mg_70kg,dose_per_admin_ref_mg_70kg,median_actual_daily_dose_mg,p5_actual_daily_dose_mg,p95_actual_daily_dose_mg,median_Cmax,median_trough,median_max_dCdt,p95_max_dCdt,median_minAlpha,p5_minAlpha,fluctuation
QD,40,40.0,38.329795818297995,29.09749209783471,51.788147846333814,154.14556723240253,72.88219085745158,43.229725709227424,92.13764926883015,0.013182835285968541,0.012877369515133155,82.23261173661714
BID,40,20.0,39.211400771686684,30.236350979781214,56.77253780105688,123.61566650090569,90.9614010717494,18.668657732534093,42.637509376240736,0.013280468926379612,0.013173782173535672,32.201258994405656
TID,40,13.333333333333334,40.111509884991534,29.292452125807767,51.67888646274043,118.5838495660856,99.00902219889898,11.254175603602718,22.288381382032107,0.01330048796537277,0.01325639636953967,18.65166629890357
QD,80,80.0,78.36035392969526,60.861143127495176,104.2530108311102,322.98594394580516,153.59217279069455,91.6206888277413,195.83191102096208,0.01287840015302526,0.011934002221872051,164.70876697154438
BID,80,40.0,82.62317105586374,60.887012787537934,107.58606722856037,274.7811534480537,197.82752964580555,42.09203153564158,75.65267858539148,0.013166489644810342,0.012943889819538293,72.61129816940912
TID,80,26.666666666666668,78.95655032132827,60.71425019642233,102.80410012063423,239.50864990922202,199.3852394362503,23.47363361200874,47.26184960309015,0.013248045207846755,0.013069663100852958,38.49440691685248
QD,120,120.0,122.00343279799344,94.99337013383563,164.77303891179193,483.24045183120853,242.90840686966817,126.92428163851463,289.8920549406412,0.012576952592746146,0.010929439138654474,242.82749652688483
BID,120,60.0,122.10917055553122,85.87756971130463,157.83020055790578,423.2785991196632,304.48687738871627,59.27799563088382,116.44971977526582,0.013055946834685923,0.01257059501161504,104.69526921649651
TID,120,40.0,120.06615959824475,90.18127813990532,156.65821791034395,374.9626128866157,312.2337686173047,38.10379730513347,67.17927924881721,0.013167801331723156,0.012932252210457266,61.11597758023538
QD,160,160.0,160.1269908897192,120.54379880470533,210.6055807615021,661.9531922540616,329.2050553863204,175.1074391007413,398.2181329618419,0.01213302785525762,0.009742155800908146,331.8922818308633
BID,160,80.0,161.12749151648643,122.04070178940572,221.26613635409623,525.662997870646,391.6039884304872,76.44417822039529,148.86160576481595,0.012918888756716807,0.012271451403058834,134.59239082938066
TID,160,53.333333333333336,158.99620841728313,119.72355277083079,222.5571506767511,501.73207080765894,423.64902777108034,49.459811383243505,103.89286653004896,0.01308833711859488,0.0125840908528211,80.1000395960854
